ID,Name,Pos,Price,Team,xPts GW37-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,37,38,xPts if play,37,38,Probability to play,37,38,xPts,37,38,npG,37,38
165,Coleman,DEF,4.9,EVE,9.407890061,9.478288299,9.157112724,,166.6904762,82.14285714,,7.189307162,2.30452936,,0.999011407,0.965789474,,7.182199863,2.225690198,,0.088552042,0.028777091
675,Mykolenko,DEF,4.9,EVE,9.157943484,9.267157268,8.947176701,,161.0714286,78.92857143,,6.991441452,2.301440778,,0.998024687,0.947368421,,6.977631168,2.180312316,,0.074210033,0.024109829
488,Andersen,DEF,4.6,CRY,9.199821799,9.242901099,8.79232734,,171.7428571,85.87142857,,6.026478079,3.244585794,,0.999512982,0.978947368,,6.023543075,3.176278724,,0.046090239,0.031018511
142,R James,DEF,6.4,CHE,8.898880925,9.214670398,8.527914696,,63.5,63.5,,4.507210172,5.154431975,,0.921052632,0.921052632,,4.15137779,4.747503134,,0.084788434,0.092656937
122,Alonso,DEF,5.7,CHE,8.524838009,9.051153799,8.378105965,,62.42857143,62.42857143,,4.58361916,5.232860972,,0.868421053,0.868421053,,3.980511376,4.544326634,,0.134140282,0.146588716
38,Mings,DEF,5,AVL,8.977747072,9.031900176,8.831856836,,170.8571429,85.42857143,,7.607284989,1.41344535,,0.999239237,0.973684211,,7.601497652,1.37624942,,0.089869721,0.019518879
588,Emerson R,DEF,4.5,TOT,8.912106215,9.017369372,8.393686946,,84.54761905,84.54761905,,4.631751519,4.521222432,,0.973684211,0.973684211,,4.509863321,4.402242894,,0.071086655,0.076631363
229,van Dijk,DEF,6.8,LIV,8.871127129,9.007969234,8.317687618,,83.89047619,83.89047619,,4.150972155,5.034391084,,0.965789474,0.965789474,,4.008965213,4.862161915,,0.067876608,0.073354747
127,Rudiger,DEF,6.1,CHE,8.603716821,8.919506295,8.253394812,,80.16666667,80.16666667,,4.346844311,4.994333952,,0.921052632,0.921052632,,4.003672392,4.600044429,,0.089653072,0.097973021
169,Keane,DEF,4.6,EVE,7.962565664,8.72944141,8.414718775,,144.3333333,53.78571429,,6.549745296,2.392696468,,0.98498318,0.631578947,,6.451388947,1.511176717,,0.085751125,0.027550092
264,Zinchenko,DEF,5.3,MCI,8.464639902,8.59621885,7.963964258,,83.66666667,81.71428571,,4.136333939,4.619505768,,0.973684211,0.960526316,,4.027483046,4.437156856,,0.02494203,0.028253343
368,Sessegnon,DEF,4.3,TOT,8.401362969,8.559257706,7.96299467,,76.5,76.5,,4.39476627,4.351858191,,0.960526316,0.960526316,,4.221288654,4.180074315,,0.05203416,0.056092787
367,D Sanchez,DEF,4.2,TOT,8.328036964,8.53856328,7.946498324,,80.64285714,80.64285714,,4.437834989,4.352870695,,0.947368421,0.947368421,,4.204264726,4.123772238,,0.097131556,0.104707747
119,Azpilicueta,DEF,5.6,CHE,7.912196639,8.438512428,7.810330075,,71.07142857,71.07142857,,4.247176778,4.863837533,,0.868421053,0.868421053,,3.688337728,4.22385891,,0.052935482,0.05784798
477,Guehi,DEF,4.5,CRY,8.334251878,8.383662413,7.953594716,,157.9428571,85.87142857,,5.323891255,3.094963997,,0.996347364,0.978947368,,5.304445017,3.02980686,,0.065980628,0.045107037
178,Holgate,DEF,4.2,EVE,7.84387272,8.380023659,8.095885055,,157.3190476,62.16666667,,6.371961645,2.040119129,,0.995082425,0.736842105,,6.340627047,1.503245674,,0.110900711,0.035418224
224,Matip,DEF,5.2,LIV,6.979618085,8.032249663,7.422652456,,64.83333333,64.83333333,,4.277263856,5.195074973,,0.736842105,0.736842105,,3.151668105,3.82794998,,0.0816542,0.088244291
364,Ben T Davies,DEF,4.5,TOT,7.898123505,8.003386663,7.450893045,,84.54761905,84.54761905,,4.112598373,3.99898793,,0.973684211,0.973684211,,4.0043721,3.893751406,,0.056638637,0.06105641
121,T Silva,DEF,5.6,CHE,7.578717505,7.999770136,7.401867341,,74.73809524,74.73809524,,3.932451871,4.537879458,,0.894736842,0.894736842,,3.518509569,4.060207936,,0.029605497,0.032352934
361,Dier,DEF,4.6,TOT,7.821818855,7.906029382,7.359726479,,85.87142857,85.87142857,,4.046959678,3.943070336,,0.978947368,0.978947368,,3.961760527,3.860058329,,0.041525762,0.044764742
259,Laporte,DEF,6,MCI,6.559712314,7.77023863,7.09617275,,38.16666667,84.54761905,,4.269270569,4.89083078,,0.421052632,0.973684211,,1.797587608,4.762124706,,0.09974927,0.115502954
113,Taylor,DEF,4.4,BUR,7.69173869,7.745891794,7.248751118,,165.5714286,82.78571429,,4.196558026,3.592923876,,0.999239237,0.973684211,,4.193365442,3.498373248,,0.008836476,0.006803667
493,Clyne,DEF,4.3,CRY,7.498777746,7.733548227,7.345531995,,152.7142857,76.35714286,,4.998349962,2.862314453,,0.987877917,0.894736842,,4.93775955,2.561018195,,0.008293488,0.005581478
23,Gabriel,DEF,5.4,ARS,7.103093956,7.682041325,7.074910139,,63.5,85.42857143,,3.825886427,4.399804064,,0.736842105,0.973684211,,2.81907421,4.284019747,,0.065450816,0.075774785
45,Konsa,DEF,4.9,AVL,6.881318288,7.527768641,7.301856931,,131.2857143,63.5,,6.16424867,1.475674738,,0.939932718,0.736842105,,5.793979007,1.087339281,,0.121661834,0.026423834
590,Tomiyasu,DEF,4.5,ARS,7.37164415,7.476907308,6.926392052,,82.78571429,82.78571429,,3.586402923,3.984474853,,0.973684211,0.973684211,,3.492023899,3.879620251,,0.03271668,0.03665544
585,C Roberts,DEF,4.4,BUR,7.067024008,7.437205913,6.944108388,,144.1428571,72.07142857,,3.96861974,3.807523652,,0.972803784,0.842105263,,3.860688301,3.206335707,,0.040907327,0.0314967
258,Ake,DEF,4.7,MCI,6.143572283,7.117256494,6.672761818,,81.71428571,43.5,,4.022114845,4.126121663,,0.960526316,0.552631579,,3.863347154,2.280225129,,0.079133593,0.080564792
67,B White,DEF,4.6,ARS,6.527045681,7.105993049,6.550513954,,63.5,85.42857143,,3.544815662,4.020889117,,0.736842105,0.973684211,,2.611969435,3.915076245,,0.028114503,0.032549181
584,Cucurella,DEF,4.9,BHA,6.992416199,7.097679357,6.557074608,,84.54761905,84.54761905,,3.26962813,3.91177229,,0.973684211,0.973684211,,3.183585285,3.808830914,,0.024396924,0.026464269
59,Dunk,DEF,4.8,BHA,6.904035659,7.009298816,6.478715595,,84.54761905,84.54761905,,3.252375927,3.83825529,,0.973684211,0.973684211,,3.166787087,3.737248572,,0.05889509,0.063885737
451,Collins,DEF,4.3,BUR,5.926606534,6.783842797,6.378516986,,157.3571429,49.5952381,,3.903056,3.546227542,,0.9924345,0.578947368,,3.873527431,2.053079103,,0.098490363,0.072952905
220,Fofana,DEF,4.3,LEI,6.320910627,6.691092532,6.298491896,,144.1428571,72.07142857,,3.939550717,2.955094677,,0.972803784,0.842105263,,3.832409846,2.488500781,,0.041629067,0.030872023
209,Castagne,DEF,5.3,LEI,6.138552312,6.656013254,6.264457629,,122.7142857,61.35714286,,3.95334679,3.009312802,,0.951795845,0.789473684,,3.762779047,2.375773265,,0.038890386,0.028841023
