ID,Name,Pos,Price,Team,xPts GW37-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,38,xPts if play,38,Probability to play,38,xPts,38,npG,38
411,A Cresswell,DEF,5.5,WHU,2.961760859,3.067024017,3.067024017,,81.5,,3.126303129,,0.947368421,,2.961760859,,0.023792823
62,Veltman,DEF,4.2,BHA,2.994817304,3.063238357,3.063238357,,80.3952381,,3.100900751,,0.965789474,,2.994817304,,0.028846761
264,Zinchenko,DEF,5.3,MCI,1.993755634,3.046387213,3.046387213,,37.78571429,,4.209039671,,0.473684211,,1.993755634,,0.029958905
76,Jansson,DEF,4.4,BRE,3.015078254,3.041394044,3.041394044,,86.53571429,,3.055279297,,0.986842105,,3.015078254,,0.07434164
590,Tomiyasu,DEF,4.5,ARS,2.102529912,2.997266754,2.997266754,,43.5,,3.804577935,,0.552631579,,2.102529912,,0.042576618
209,Castagne,DEF,5.3,LEI,2.816240662,2.92150382,2.92150382,,72.07142857,,2.972698477,,0.947368421,,2.816240662,,0.035422354
201,Evans,DEF,5.4,LEI,2.698157984,2.9086843,2.9086843,,74.73809524,,3.015588336,,0.894736842,,2.698157984,,0.059758143
83,Henry,DEF,4.5,BRE,2.851454613,2.904086192,2.904086192,,81.02380952,,2.928520953,,0.973684211,,2.851454613,,0.04944038
258,Ake,DEF,4.7,MCI,1.63948052,2.902638415,2.902638415,,32.42105263,,4.450018554,,0.368421053,,1.63948052,,0.095713093
279,Telles,DEF,5.1,MUN,2.476834504,2.897887135,2.897887135,,67.78571429,,3.137323705,,0.789473684,,2.476834504,,0.018781143
488,Andersen,DEF,4.6,CRY,2.854636785,2.896742048,2.896742048,,84.98571429,,2.916026824,,0.978947368,,2.854636785,,0.028699827
218,Justin,DEF,4.9,LEI,2.187403932,2.871614458,2.871614458,,53.5,,3.324853977,,0.657894737,,2.187403932,,0.066614516
501,M Sarr,DEF,4.9,CHE,1.591634263,2.854792157,2.854792157,,31.68421053,,4.320150141,,0.368421053,,1.591634263,,0.019452281
58,Burn,DEF,4.4,NEW,2.754568437,2.833515805,2.833515805,,83.45238095,,2.86776988,,0.960526316,,2.754568437,,0.052142295
