Name,FFS17,vaastav17,FFS18,vaastav18,FFS19,vaastav19,FFS20,vaastav20
Delph,Delph,Fabian_Delph,Delph,Fabian_Delph_269,Delph,Fabian_Delph_205,Delph,
Dembele,DembÈlÈ,Mousa_DembÈlÈ,DembÈlÈ,Mousa_DembÈlÈ_362,,,DembÈlÈ,
Denayer,,,,,,,Denayer,
Dendoncker,,,Dendoncker,Leander_Dendoncker_519,Dendoncker,Leander_Dendoncker_420,Dendoncker (Leander),
Depay,,,,,,,Depay,
Depoitre,Depoitre,Laurent_Depoitre,Depoitre,Laurent_Depoitre_210,,,Depoitre,
Deulofeu,Deulofeu,Gerard_Deulofeu,Deulofeu,Gerard_Deulofeu_394,Deulofeu,Gerard_Deulofeu_363,Deulofeu,
Diabate,DiabatÈ,Fousseni_DiabatÈ,DiabatÈ,Fousseni_DiabatÈ_232,,,DiabatÈ,
Diakhaby,,,Diakhaby,Adama_Diakhaby_471,,,Diakhaby,
Diallo,,,,,,,Diallo,
Diame,DiamÈ,Mohamed_DiamÈ,DiamÈ,Mohamed_DiamÈ_319,,,DiamÈ,
Diangana,,Grady_Diangana,Diangana,Grady_Diangana_539,,Grady_Diangana_398,Diangana,
Dias,,,,,,,R˙ben Dias,
Diaz,Diaz,Brahim_Diaz,,Brahim_Diaz_278,,,Diaz,
Dier,Dier,Eric_Dier,Dier,Eric_Dier_361,Dier,Eric_Dier_350,Dier,
Digne,,,Digne,Lucas_Digne_484,Digne,Lucas_Digne_141,Digne,
Diomande,,,,,,,Diomande,
Diop,,,Diop,Issa_Diop_409,Diop,Issa_Diop_381,Diop,
Diouf,Diouf,Mame Biram_Diouf,,,,,Diouf,
Djenepo,,,,,Djenepo,Moussa_Djenepo_438,Djenepo,
Djilobodji,,,,,,,Djilobodji,
Doherty,,,Doherty,Matt_Doherty_425,Doherty,Matt_Doherty_401,Doherty,
Doucoure,DoucourÈ,Abdoulaye_DoucourÈ,DoucourÈ,Abdoulaye_DoucourÈ_390,DoucourÈ,Abdoulaye_Doucour√©_368,DoucourÈ,
Douglas,,,,Barry_Douglas_424,,,Douglas,
Downing,,,,,,,Downing,
Doyle,,,,,Doyle,Tommy_Doyle_644,Doyle,
Dragovic,Dragovic,Aleksandar_Dragovic,,,,,Dragovic,
Dreher,,,Dreher,Luke_Dreher_618,,Luke_Dreher_140,Dreher,
Drinkwater,Drinkwater,Daniel_Drinkwater,,Daniel_Drinkwater_128,Drinkwater,Daniel_Drinkwater_120,Drinkwater,
Drmic,,,,,Drmic,Josip_Drmic_434,Drmic,
Dubravka,Dubravka,Martin_Dubravka,Dubravka,Martin_Dubravka_309,Dubravka,Martin_Dubravka_262,Dubravka,
Duda,,,,,Duda,Ondrej_Duda_601,Duda,
Duffy,Duffy,Shane_Duffy,Duffy,Shane_Duffy_49,Duffy (Shane),Shane_Duffy_37,Duffy (Shane),
Duhaney,,,Duhaney,Demeaco_Duhaney_601,,,Duhaney,
Dummett,Dummett,Paul_Dummett,Dummett,Paul_Dummett_313,Dummett,Paul_Dummett_255,Dummett,
Dunk,Dunk,Lewis_Dunk,Dunk,Lewis_Dunk_48,Dunk,Lewis_Dunk_42,Dunk,
Dunne,,,,,,,Jimmy Dunne,
Durm,,,Durm,Erik_Durm_461,,,Durm,
Dyer,Dyer,Nathan_Dyer,,,,,Dyer,
Ederson,Ederson,Ederson_Santana de Moraes,Ederson,Ederson_Santana de Moraes_260,Ederson,Ederson_Santana de Moraes_212,Ederson,
K Edwards,,,,,,,Kyle Edwards,
T Edwards,Edwards (Thomas),Thomas_Edwards,,,,,Edwards (Thomas),
Egan,,,,,Egan,John_Egan_295,Egan,
Ejaria,,,,,,,Ejaria,
Elabdellaoui,,,,,,,Elabdellaoui,
Eleftheriou,,,,,,,Eleftheriou,
Elliot,Elliot,Robert_Elliot,,Robert_Elliot_307,,Robert_Elliot_573,Elliot,
Elliott,,,Elliott,Harvey_Elliott_610,Elliott,Harvey_Elliott_550,Elliott,
Elmohamady,,,,,Elmohamady,Ahmed_El Mohamady_22,Elmohamady,
Elneny,Elneny,Mohamed_Elneny,Elneny,Mohamed_Elneny_16,,Mohamed_Elneny_20,Elneny,
Elyounoussi,,,Elyounoussi,Mohamed_Elyounoussi_346,,Mohamed_Elyounoussi_322,Elyounoussi,
Emerson,Emerson,Emerson_Palmieri dos Santos,Emerson,Emerson_Palmieri dos Santos_121,Emerson,Emerson_Palmieri dos Santos_107,Emerson,
Engels,,,,,Engels,Bjorn_Engels_455,Engels,
Eriksen,Eriksen,Christian_Eriksen,Eriksen,Christian_Eriksen_364,Eriksen,Christian_Eriksen_343,Eriksen,
Etheridge,,,Etheridge,Neil_Etheridge_88,,,Etheridge,
Evandro,,,,,,,Evandro,
Evans,Evans,Jonny_Evans,Evans,Jonny_Evans_222,Evans (Jonny),Jonny_Evans_162,Evans,
Evra,Evra,Patrice_Evra,,,,,Evra,
Eze,,,,,,,Eze,
Fabianski,Fabianski,Lukasz_Fabianski,Fabianski,Lukasz_Fabianski_400,Fabianski,Lukasz_Fabianski_388,Fabianski,
Fabinho,,,Fabinho,Fabio Henrique_Tavares_255,Fabinho,Fabio Henrique_Tavares_197,Fabinho,
Fabio,,,,,,,Fabio Silva,
Fabregas,Fabregas,Cesc_F‡bregas,Fabregas,Cesc_F‡bregas_123,,,Fabregas,
Fabri,,,Fabri,Fabricio_Agosto RamÌrez_474,,,Fabri,
Fahrmann,,,,,F‰hrmann,Ralf_Fahrmann_449,F‰hrmann,
Famewo,,,,,Famewo,Akin_Famewo_552,Famewo,
Federici,,Adam_Federici,,,,,Federici,
Feghouli,,Sofiane_Feghouli,,,,,Feghouli,
Fellaini,Fellaini,Marouane_Fellaini,Fellaini,Marouane_Fellaini_298,,,Fellaini,
Femenia,FemenÌa,Francisco_FemenÌa Far,FemenÌa,Francisco_FemenÌa Far_383,FemenÌa,Francisco_Femen√≠a Far_357,FemenÌa,
Fer,Fer,Leroy_Fer,,,,,Fer,
Ferguson,,Nathan_Ferguson,,,,,Ferguson,
B Fernandes,,,,,Bruno Fernandes,Bruno Miguel_Borges Fernandes_618,Bruno Fernandes,
E Fernandes,Fernandes,Edimilson_Fernandes,,Edimilson_Fernandes_416,,,Fernandes,
G Fernandes,,,,,Gedson Fernandes,Gedson_Carvalho Fernandes_605,Gedson Fernandes,
Fernandez,Fern·ndez,Federico_Fern·ndez,Fern·ndez,Federico_Fern·ndez_516,Fern·ndez,Federico_Fern√°ndez_254,Fern·ndez,
Fernandinho,Fernandinho,Fernando_Luiz Rosa,Fernandinho,Fernando_Luiz Rosa_272,Fernandinho,Fernando_Luiz Rosa_221,Fernandinho,
Fernando,,,,,,,Fernando,
Field,Field,Sam_Field,,,,,Field,
