ID,Name,Pos,Price,Team,xPts GW37-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,38,xPts if play,38,Probability to play,38,xPts,38
23252,Bardsley,DEF,4,BUR,0.104858012,2.025910644,2.025910644,,2.960526316,,2.656402979,,0.039473684,,0.104858012
23120,Gomez,DEF,5,LIV,0.047826843,2.021511053,2.021511053,,0.986842105,,3.634840037,,0.013157895,,0.047826843
45117,Ritchie,DEF,4.2,NEW,0.120810821,2.015547663,2.015547663,,3.157894737,,2.295405591,,0.052631579,,0.120810821
23037,Kelly,DEF,4,CRY,0.062615727,2.009984148,2.009984148,,2.105263158,,2.37939764,,0.026315789,,0.062615727
23544,Kouyate,DEF,4.6,CRY,0.429194193,2.008141562,2.008141562,,12.63157895,,2.038672418,,0.210526316,,0.429194193
88625,Vestergaard,DEF,4.9,LEI,0.033471682,2.007155892,2.007155892,,0.921052632,,2.543847814,,0.013157895,,0.033471682
230255,Jach,DEF,4.5,CRY,0.031728842,2.005413052,2.005413052,,1.052631579,,2.411391974,,0.013157895,,0.031728842
25865,Manquillo,DEF,4,NEW,0.056653384,2.004021805,2.004021805,,1.842105263,,2.152828604,,0.026315789,,0.056653384
23171,Bailly,DEF,5,MUN,0.029059083,2.002743293,2.002743293,,0.986842105,,2.208490288,,0.013157895,,0.029059083
45114,Dummett,DEF,4.5,NEW,0.028569351,2.002253561,2.002253561,,0.921052632,,2.171270657,,0.013157895,,0.028569351
274845,P Jones,DEF,4.5,MUN,0.012364826,2.00183851,2.00183851,,0.394736842,,2.349316869,,0.005263158,,0.012364826
226984,Firpo,DEF,4.3,LEE,1.894862316,2.000125474,2.000125474,,70.35714286,,2.000132444,,0.947368421,,1.894862316
192723,Omobamidele,DEF,4,NOR,0,2,2,,0,,0.001331,,0,,0
225300,Troost-Ekong,DEF,4.2,WAT,0,2,2,,0,,0.001387,,0,,0
176652,Ayling,DEF,4.3,LEE,0,2,2,,0,,0.001185,,0,,0
203020,Kabak,DEF,4.3,NOR,0,2,2,,0,,0.001609,,0,,0
23466,F Fernandez,DEF,4.4,NEW,0,2,2,,0,,0.001465,,0,,0
192734,Zimmermann,DEF,4.4,NOR,0,2,2,,0,,0.001324,,0,,0
192197,Pinnock,DEF,4.5,BRE,0,2,2,,0,,0.001091,,0,,0
132423,Hause,DEF,4.5,AVL,0,2,2,,0,,0.001036,,0,,0
23241,Bertrand,DEF,4.5,LEI,0,2,2,,0,,0.001473,,0,,0
274923,Patterson,DEF,4.5,EVE,0,2,2,,0,,0.001697,,0,,0
259132,Zanka,DEF,4.5,BRE,0,2,2,,0,,0.001618,,0,,0
178020,N Ferguson,DEF,4.5,CRY,0,2,2,,0,,0.001161,,0,,0
225299,Sierralta,DEF,4.5,WAT,0,2,2,,0,,0.001396,,0,,0
134708,Konsa,DEF,4.6,AVL,0,2,2,,0,,0.001045,,0,,0
157546,Tanganga,DEF,4.6,TOT,0,2,2,,0,,0.001371,,0,,0
241952,Romero,DEF,4.7,TOT,0,2,2,,0,,0.001495,,0,,0
185167,Semedo,DEF,4.8,WOL,0,2,2,,0,,0.001437,,0,,0
106466,Kilman,DEF,4.8,WOL,0,2,2,,0,,0.001439,,0,,0
88539,Saiss,DEF,4.9,WOL,0,2,2,,0,,0.001431,,0,,0
237976,Livramento,DEF,4.9,SOU,0,2,2,,0,,0.001491,,0,,0
88449,Diop,DEF,4.9,WHU,0,2,2,,0,,0.001424,,0,,0
226790,Perraud,DEF,4.9,SOU,0,2,2,,0,,0.00146,,0,,0
23278,Ogbonna,DEF,5.1,WHU,0,2,2,,0,,0.001409,,0,,0
88464,Doherty,DEF,5.2,TOT,0,2,2,,0,,0.00136,,0,,0
184661,Reguilon,DEF,5.3,TOT,0,2,2,,0,,0.00137,,0,,0
139989,Tierney,DEF,5.7,ARS,0,2,2,,0,,0.001016,,0,,0
186737,Dias,DEF,6.3,MCI,0,2,2,,0,,0.001262,,0,,0
24083,Chilwell,DEF,6.4,CHE,0,2,2,,0,,0.001135,,0,,0
274593,Bradley,DEF,4,LIV,0.005029532,1.999766374,1.999766374,,0.065789474,,1.911222269,,0.002631579,,0.005029532
274594,Beck,DEF,4,LIV,0.004965762,1.999702605,1.999702605,,0.065789474,,1.886989738,,0.002631579,,0.004965762
274592,Koumetio,DEF,4,LIV,0.004884858,1.9996217,1.9996217,,0.065789474,,1.856246053,,0.002631579,,0.004884858
273787,Ashby,DEF,4,WHU,0.003773939,1.998510781,1.998510781,,0.065789474,,1.434096969,,0.002631579,,0.003773939
273846,McCarron,DEF,4,LEE,0.022953046,1.996637256,1.996637256,,0.526315789,,1.744431464,,0.013157895,,0.022953046
280662,Hjelde,DEF,4.5,LEE,0.048941345,1.996309766,1.996309766,,1.842105263,,1.859771104,,0.026315789,,0.048941345
